Agent DT2 issued deposit	 of $506.00	at:09/15/2024 22:21:57 EDT	Transaction Number : 1
Agent DT3 issued deposit	 of $503.00	at:09/15/2024 23:38:38 EDT	Transaction Number : 6827
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:38:38 EDT	Transaction Number : 6835
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:38:38 EDT	Transaction Number : 6842
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:38:39 EDT	Transaction Number : 6869
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:38:39 EDT	Transaction Number : 6870
Agent DT1 issued deposit	 of $458.00	at:09/15/2024 23:38:39 EDT	Transaction Number : 6880
Agent DT3 issued deposit	 of $472.00	at:09/15/2024 23:38:39 EDT	Transaction Number : 6887
Agent DT5 issued deposit	 of $568.00	at:09/15/2024 23:38:39 EDT	Transaction Number : 6891
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6917
Agent DT4 issued deposit	 of $507.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6935
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6936
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6940
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6945
Agent WT4 issued withdrawal	 of $90.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6961
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6974
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6975
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6984
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 6997
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 7006
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 7010
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 7021
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 7022
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 7023
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:40 EDT	Transaction Number : 7025
Agent DT1 issued deposit	 of $487.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7028
Agent WT4 issued withdrawal	 of $96.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7029
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7031
Agent DT4 issued deposit	 of $519.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7035
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7047
Agent DT2 issued deposit	 of $539.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7065
Agent DT4 issued deposit	 of $454.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7069
Agent DT1 issued deposit	 of $593.00	at:09/15/2024 23:38:41 EDT	Transaction Number : 7112
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7124
Agent WT4 issued withdrawal	 of $90.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7125
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7136
Agent DT3 issued deposit	 of $526.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7144
Agent DT4 issued deposit	 of $477.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7149
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7150
Agent DT4 issued deposit	 of $571.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7153
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7154
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7160
Agent DT3 issued deposit	 of $590.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7177
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:38:42 EDT	Transaction Number : 7187
Agent DT5 issued deposit	 of $490.00	at:09/15/2024 23:38:43 EDT	Transaction Number : 7193
Agent WT9 issued withdrawal	 of $96.00	at:09/15/2024 23:38:43 EDT	Transaction Number : 7227
Agent DT1 issued deposit	 of $563.00	at:09/15/2024 23:38:43 EDT	Transaction Number : 7245
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:38:43 EDT	Transaction Number : 7252
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7263
Agent DT5 issued deposit	 of $578.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7268
Agent WT7 issued withdrawal	 of $93.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7275
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7279
Agent DT4 issued deposit	 of $488.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7286
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7305
Agent DT5 issued deposit	 of $576.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7311
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7313
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7314
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7317
Agent WT1 issued withdrawal	 of $94.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7349
Agent DT5 issued deposit	 of $470.00	at:09/15/2024 23:38:44 EDT	Transaction Number : 7356
Agent DT2 issued deposit	 of $489.00	at:09/15/2024 23:38:45 EDT	Transaction Number : 7364
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:38:45 EDT	Transaction Number : 7388
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:38:46 EDT	Transaction Number : 7407
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:38:46 EDT	Transaction Number : 7411
Agent DT5 issued deposit	 of $566.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7426
Agent DT1 issued deposit	 of $542.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7427
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7430
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7433
Agent DT5 issued deposit	 of $534.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7470
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7478
Agent DT4 issued deposit	 of $501.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7485
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7486
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:38:47 EDT	Transaction Number : 7493
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:38:48 EDT	Transaction Number : 7498
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:38:48 EDT	Transaction Number : 7503
Agent DT2 issued deposit	 of $588.00	at:09/15/2024 23:38:48 EDT	Transaction Number : 7507
Agent DT3 issued deposit	 of $480.00	at:09/15/2024 23:38:48 EDT	Transaction Number : 7530
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:38:48 EDT	Transaction Number : 7535
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:38:49 EDT	Transaction Number : 7540
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:38:49 EDT	Transaction Number : 7550
Agent DT5 issued deposit	 of $470.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7577
Agent DT4 issued deposit	 of $539.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7578
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7581
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7583
Agent WT4 issued withdrawal	 of $93.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7601
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7602
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7619
Agent DT5 issued deposit	 of $498.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7623
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7639
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:38:50 EDT	Transaction Number : 7654
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:38:51 EDT	Transaction Number : 7684
Agent DT1 issued deposit	 of $552.00	at:09/15/2024 23:38:51 EDT	Transaction Number : 7688
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:38:51 EDT	Transaction Number : 7701
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:38:52 EDT	Transaction Number : 7720
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:38:52 EDT	Transaction Number : 7722
Agent DT3 issued deposit	 of $570.00	at:09/15/2024 23:38:52 EDT	Transaction Number : 7729
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:38:52 EDT	Transaction Number : 7732
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:38:52 EDT	Transaction Number : 7735
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:38:52 EDT	Transaction Number : 7741
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:38:52 EDT	Transaction Number : 7754
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7763
Agent DT4 issued deposit	 of $514.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7772
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7773
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7796
Agent DT3 issued deposit	 of $541.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7811
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7812
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7816
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7818
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7835
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7836
Agent DT3 issued deposit	 of $456.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7838
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7840
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7841
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:38:53 EDT	Transaction Number : 7846
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7849
Agent DT1 issued deposit	 of $516.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7852
Agent DT4 issued deposit	 of $479.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7870
Agent DT4 issued deposit	 of $516.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7882
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7883
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7887
Agent DT3 issued deposit	 of $521.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7890
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7894
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:38:54 EDT	Transaction Number : 7901
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7906
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7910
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7916
Agent WT1 issued withdrawal	 of $93.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7917
Agent DT2 issued deposit	 of $494.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7953
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7961
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7962
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7963
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7971
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7977
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:38:55 EDT	Transaction Number : 7978
Agent DT4 issued deposit	 of $463.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8003
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8005
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8015
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8017
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8025
Agent DT1 issued deposit	 of $527.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8058
Agent DT2 issued deposit	 of $573.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8099
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8117
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8126
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:38:56 EDT	Transaction Number : 8128
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8141
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8147
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8148
Agent DT1 issued deposit	 of $596.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8159
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8161
Agent DT3 issued deposit	 of $495.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8167
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8172
Agent DT2 issued deposit	 of $560.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8176
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8179
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:38:57 EDT	Transaction Number : 8188
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:38:58 EDT	Transaction Number : 8203
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:38:58 EDT	Transaction Number : 8209
Agent DT3 issued deposit	 of $582.00	at:09/15/2024 23:38:58 EDT	Transaction Number : 8211
Agent DT4 issued deposit	 of $567.00	at:09/15/2024 23:38:58 EDT	Transaction Number : 8222
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:38:58 EDT	Transaction Number : 8239
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:38:58 EDT	Transaction Number : 8245
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:38:59 EDT	Transaction Number : 8280
Agent DT3 issued deposit	 of $557.00	at:09/15/2024 23:38:59 EDT	Transaction Number : 8298
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:38:59 EDT	Transaction Number : 8299
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:59 EDT	Transaction Number : 8328
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:38:59 EDT	Transaction Number : 8330
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:38:59 EDT	Transaction Number : 8340
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8363
Agent DT5 issued deposit	 of $500.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8377
Agent DT2 issued deposit	 of $497.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8378
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8382
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8389
Agent WT4 issued withdrawal	 of $93.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8393
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8404
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8414
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:39:00 EDT	Transaction Number : 8415
Agent DT1 issued deposit	 of $518.00	at:09/15/2024 23:39:01 EDT	Transaction Number : 8425
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:39:01 EDT	Transaction Number : 8427
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:39:01 EDT	Transaction Number : 8446
Agent DT1 issued deposit	 of $456.00	at:09/15/2024 23:39:01 EDT	Transaction Number : 8457
Agent WT7 issued withdrawal	 of $93.00	at:09/15/2024 23:39:01 EDT	Transaction Number : 8461
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8469
Agent DT3 issued deposit	 of $561.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8480
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8491
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8492
Agent DT4 issued deposit	 of $598.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8497
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8504
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8507
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8509
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8514
Agent WT7 issued withdrawal	 of $93.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8520
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:39:02 EDT	Transaction Number : 8526
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:39:03 EDT	Transaction Number : 8536
Agent DT5 issued deposit	 of $488.00	at:09/15/2024 23:39:03 EDT	Transaction Number : 8538
Agent WT1 issued withdrawal	 of $93.00	at:09/15/2024 23:39:03 EDT	Transaction Number : 8543
Agent DT5 issued deposit	 of $456.00	at:09/15/2024 23:39:03 EDT	Transaction Number : 8568
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:39:03 EDT	Transaction Number : 8577
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:39:03 EDT	Transaction Number : 8579
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:39:03 EDT	Transaction Number : 8606
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:39:04 EDT	Transaction Number : 8644
Agent DT2 issued deposit	 of $498.00	at:09/15/2024 23:39:04 EDT	Transaction Number : 8647
Agent DT5 issued deposit	 of $549.00	at:09/15/2024 23:39:04 EDT	Transaction Number : 8648
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:39:04 EDT	Transaction Number : 8666
Agent DT2 issued deposit	 of $591.00	at:09/15/2024 23:39:04 EDT	Transaction Number : 8670
Agent DT4 issued deposit	 of $569.00	at:09/15/2024 23:39:04 EDT	Transaction Number : 8672
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:39:04 EDT	Transaction Number : 8675
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:39:05 EDT	Transaction Number : 8695
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:39:05 EDT	Transaction Number : 8699
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:39:05 EDT	Transaction Number : 8709
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:39:05 EDT	Transaction Number : 8710
Agent WT7 issued withdrawal	 of $93.00	at:09/15/2024 23:39:05 EDT	Transaction Number : 8729
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:39:06 EDT	Transaction Number : 8735
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:39:06 EDT	Transaction Number : 8737
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:06 EDT	Transaction Number : 8757
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:39:06 EDT	Transaction Number : 8763
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:06 EDT	Transaction Number : 8776
Agent DT1 issued deposit	 of $549.00	at:09/15/2024 23:39:06 EDT	Transaction Number : 8781
Agent DT3 issued deposit	 of $563.00	at:09/15/2024 23:39:06 EDT	Transaction Number : 8786
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:39:07 EDT	Transaction Number : 8794
Agent DT5 issued deposit	 of $515.00	at:09/15/2024 23:39:07 EDT	Transaction Number : 8814
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:39:07 EDT	Transaction Number : 8821
Agent DT4 issued deposit	 of $594.00	at:09/15/2024 23:39:07 EDT	Transaction Number : 8838
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:39:07 EDT	Transaction Number : 8844
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:39:07 EDT	Transaction Number : 8855
Agent DT5 issued deposit	 of $570.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8867
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8871
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8885
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8911
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8925
Agent DT2 issued deposit	 of $594.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8928
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8929
Agent DT4 issued deposit	 of $596.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8937
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:39:08 EDT	Transaction Number : 8938
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 8955
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 8962
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 8975
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 8994
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 9007
Agent DT2 issued deposit	 of $537.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 9023
Agent DT4 issued deposit	 of $599.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 9027
Agent DT1 issued deposit	 of $586.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 9034
Agent DT3 issued deposit	 of $453.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 9035
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:39:09 EDT	Transaction Number : 9037
Agent DT2 issued deposit	 of $484.00	at:09/15/2024 23:39:10 EDT	Transaction Number : 9060
Agent DT1 issued deposit	 of $597.00	at:09/15/2024 23:39:10 EDT	Transaction Number : 9063
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:39:10 EDT	Transaction Number : 9067
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:39:10 EDT	Transaction Number : 9086
Agent DT2 issued deposit	 of $578.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9087
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9090
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9091
Agent DT4 issued deposit	 of $583.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9134
Agent DT2 issued deposit	 of $598.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9155
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9158
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9186
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9195
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9213
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9215
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:39:11 EDT	Transaction Number : 9218
Agent DT2 issued deposit	 of $548.00	at:09/15/2024 23:39:12 EDT	Transaction Number : 9233
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:39:12 EDT	Transaction Number : 9238
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:39:12 EDT	Transaction Number : 9244
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:39:12 EDT	Transaction Number : 9259
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:39:12 EDT	Transaction Number : 9275
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:39:12 EDT	Transaction Number : 9280
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9311
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9325
Agent DT2 issued deposit	 of $479.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9328
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9334
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9335
Agent DT4 issued deposit	 of $505.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9352
Agent DT1 issued deposit	 of $596.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9354
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:39:13 EDT	Transaction Number : 9359
Agent DT5 issued deposit	 of $597.00	at:09/15/2024 23:39:14 EDT	Transaction Number : 9387
